AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;CONVENIO_SEP;AÑO_INGRESO_SEP;CLASIFICACION_SEP;EE_GRATUITO;N_PRIO;N_PRIO_BEN;N_PREF;N_PREF_BEN;N_BEN
2022;25894;6;COLEGIO MANANTIAL DE SAN MIGUEL;13;131;13130;SAN MIGUEL;131;SANTIAGO CENTRO;3;2;0;1;1;2021;EMERGENTE;0;141;141;131;0;141
2022;25895;4;COLEGIO SANTIAGO DE PUDAHUEL;13;131;13124;PUDAHUEL;134;SANTIAGO PONIENTE;3;2;0;1;1;2022;EMERGENTE;1;517;517;385;385;902
2022;25897;0;ESCUELA PART. INSTITUTO S.A;13;131;13110;LA FLORIDA;136;CORDILLERA;3;2;0;1;1;2019;EMERGENTE;1;231;231;36;36;267
2022;25899;7;LICEO JOSE ABELARDO NUÑEZ Nº 4;13;131;13107;HUECHURABA;137;SANTIAGO NORTE;3;2;0;1;1;2022;EMERGENTE;1;367;367;132;132;499
2022;25900;4;ESC. ESP. VOCARE;13;131;13129;SAN JOAQUÍN;131;SANTIAGO CENTRO;3;2;0;1;0;0;SIN SEP;1;66;0;15;0;0
2022;25901;2;ESC. EVANG. PENTECOSTAL DR. WILLIS C. HOOVER;13;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;3;2;0;1;1;2021;EMERGENTE;1;230;230;157;157;387
2022;25902;0;ESC. DE PARV. Y ESP. RAHUE;13;135;13501;MELIPILLA;135;TALAGANTE;3;2;0;1;1;2018;EMERGENTE;1;37;16;15;9;25
2022;25903;9;ESCUELA ESP. MI ESPACIO;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;3;2;0;1;0;2020;SIN SEP;1;41;0;15;0;0
2022;25904;7;ESCUELA ESP. PART. VALLE DEL SOL;13;131;13118;MACUL;133;SANTIAGO ORIENTE;3;2;0;1;0;0;SIN SEP;1;40;0;29;0;0
2022;25906;3;ESCUELA ESP. PARTICULAR OSCAR CASTRO;13;131;13126;QUINTA NORMAL;134;SANTIAGO PONIENTE;3;2;0;1;0;0;SIN SEP;1;26;0;6;0;0
2022;25907;1;ESCUELA ESP. PART. SAN JOSE DE SAN BERNARDO;13;134;13401;SAN BERNARDO;132;SANTIAGO SUR;3;2;0;1;0;0;SIN SEP;1;58;0;21;0;0
2022;25909;8;ESCUELA ESPECIAL ARCOIRIS;13;132;13201;PUENTE ALTO;136;CORDILLERA;3;2;0;1;0;0;SIN SEP;1;49;0;5;0;0
2022;25912;8;ESCUELA ESP. PART. SAN JORGE DE QUINTA NORMAL;13;131;13126;QUINTA NORMAL;134;SANTIAGO PONIENTE;3;2;0;1;0;0;SIN SEP;1;65;0;40;0;0
2022;25913;6;ESCUELA ESP. PART. CHARLES DE GAULLE;13;134;13401;SAN BERNARDO;132;SANTIAGO SUR;3;2;0;1;0;0;SIN SEP;1;75;0;23;0;0
2022;25914;4;ESCUELA PARTICULAR SUBVENCIONADA SAN JORGE DE COLINA;13;133;13301;COLINA;137;SANTIAGO NORTE;3;2;0;1;1;2021;EMERGENTE;1;99;99;72;72;171
2022;25916;0;ESCUELA BAS. SAN SEBASTIAN DE COLINA;13;133;13301;COLINA;137;SANTIAGO NORTE;3;2;0;1;1;2019;EMERGENTE;1;415;415;323;323;738
2022;25918;7;ESCUELA ESP. PART. CAMINO A BELEN N¦ 2;13;131;13107;HUECHURABA;137;SANTIAGO NORTE;3;2;0;1;0;0;SIN SEP;1;8;0;15;0;0
2022;25919;5;ESCUELA BASICA NEHUEN;13;136;13601;TALAGANTE;135;TALAGANTE;3;2;0;1;0;0;SIN SEP;0;102;0;169;0;0
2022;25920;9;ESCUELA ESP. PART. CALIN;13;131;13103;CERRO NAVIA;134;SANTIAGO PONIENTE;3;2;0;1;0;0;SIN SEP;1;68;0;11;0;0
2022;25921;7;COLEGIO CENTRO EDUCACIONAL ROUSSEAU;13;131;13119;MAIPÚ;134;SANTIAGO PONIENTE;3;2;0;1;1;2021;EMERGENTE;1;301;301;177;177;478
2022;25922;5;COLEGIO TERRA AUSTRALIS;13;131;13124;PUDAHUEL;134;SANTIAGO PONIENTE;3;2;0;1;0;0;SIN SEP;0;591;0;540;0;0
